Voter ID;Jan Sedláček (stud PrF MU);David Vyhlídal (stud PrF MU);Šárka Vyskočilová (stud PrF MU);Kryštof Zika (stud PrF MU);Kateřina Audyová (stud PrF MU);Matyáš Ličeník (stud PrF MU);Barbora Bulánková (stud PrF MU);Lucie Králová (stud PrF MU);Tomáš Neugebauer (stud PrF MU);Martin Plášek (stud PrF MU);Karolína Šandorová (stud PrF MU);Jan Zubík (stud PrF MU);Roman Karchut (stud PrF MU);Nevenka Petříčková (stud PrF MU);Martin Zigmund (stud PrF MU, ESF MU);Tereza Vodičková (stud PrF MU);Robin Kašpar (stud PrF MU);Boris Šabík (stud PrF MU);Adam Jelínek (stud PrF MU);Adam Jasiok (stud PrF MU);Jan Dzuba (stud PrF MU);Jakub Nováček (stud PrF MU);Jan Schraml (stud PrF MU);Dominik Kalouda (stud PrF MU);Albert Jilg (stud PrF MU);Vítek Souchop (stud PrF MU);Kristýna Bohlová (stud PrF MU);Tomáš Pospíšil (stud PrF MU)
x7v7h0taqj;;X;;X;;X;;X;X;;X;;;X;;;;;;X;;;;;;;;
x898t5q2z1;;;;;;;X;;;X;X;;;X;;;X;;;X;;;;;;;;
x9ex0593fv;;;;;;;;;;;;X;X;;;;;;;;;;;;;;X;
x9ff9qqot8;;X;;X;X;;X;;X;;X;;;;;;;;;;;;;;;;X;
x9i3ym8sih;X;;X;;;X;;;;;;;;;;;;;;;;;;;X;;;
x9pmljxsv8;;;;;;;X;;;;;;;;;;;X;;;;;;;;;;
x92qlmr1aq;;;;X;;;;;;;;;;;;X;;;;;;;;;;;X;
yapc557vad;;;X;;;;;;;X;;;;;;;;;;;;;;;;;;
ybhr3khzb9;;;X;X;;;X;;;;;;;X;;;;;;;;;;;;;;
yeiub9tldm;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
yfx5g9vb14;X;;;X;;;;;;;;;;;X;;;;;;;;;;;;;
yf586zfc03;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
yg9ar7ixq6;;;;;;;;;;;;;;X;;;;;;;;;;;;;;
ykefhwebis;;X;;;;;;;X;;X;X;;;;;;;;X;X;;;;;;;
ym15p4ghtk;;;X;;X;;;X;;;;;;;;;;;;;;;;;;;;
yowo07wjhs;;;;;;;X;;;X;X;X;;X;X;;;;;;;;;;;;;
yqbby5fmm8;;;X;;;;X;;;X;X;X;;;X;X;;;;;;;;;;;;
yqmg2clke5;;;;X;;X;;X;;;;;;;;;;;;;;;;;;;;
yuktmpu61x;;;;X;;X;;;;X;;;;X;;;;;;X;;;X;;;X;;
yvkzyspyk3;;;;;;;;;;;X;;;;;;X;;;;;X;;;;;;
yv0kbhoo5h;;;X;X;X;;X;;;;X;;;X;;X;;;;;;;;;;;X;
ywysflo8m8;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X
yxb9sdatyk;;;;;X;;;;;;X;;;X;;X;;;;;;;;;;;X;
yx7m4c8wcj;;;;;;;;;;;;;;X;;;;;;X;;;;;;;;
yykqvpe5kt;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
yytxme6fzm;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;
yyzkw9td5h;X;;;;;;;;;;X;X;;X;;;;;;;;;;;;X;;
yy2y5v54s1;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
y0bb91ipcv;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;
y03tqxksaa;;;X;;;;;;;;X;X;;;X;;;;X;X;;;;;;;;
y05smpb2jz;;;X;;;;;;;;;;;;;;X;;;;;;X;;;;;
y3i5ptdbwg;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
y4k8wjw3au;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
y45fdam2xm;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
y6ivy164qs;X;;X;;;X;;;;;;;;;;;;;;;;;;;;;;
y6lzhut0vr;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
y7oxse83ib;X;;;;;;;;X;;;;;X;;;X;;X;;;;;;;;;
zahhvo0wea;;;;;;;;X;;;;;;;;;;;;;;;;;;;;
zgw5xijbs6;;;X;;;;;;X;;;;;X;X;;;;;;;;;X;;;;
zg1hyot8my;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
zhhudaiu4o;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
zhlmaojulc;;;;;;;;;;;;;;;;;X;;;;;;;;;;;X
zk1cidm3b4;X;;;;;;;;X;;;;;X;;;X;;;;;X;X;;;;X;
zk36ukfup8;;;X;;;;;;;;;;;;;;;;;;;;;;;X;;
zk8o5iibam;;;;;;;;;X;;X;;;X;;X;X;;;;;;;;;;;
zlfxo0kd8u;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
zl4lfw63wp;;X;X;;X;;;;;;X;;;;;;;;;X;;;;;;;X;
zmq3kldq3y;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;
zobs3ldysg;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
zqrqnaacxt;;;;;;;;;;;;;;;;;;;X;;;;;;;;;
zr7y4o8t7r;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X
zr91cstlnn;;X;;X;;X;;;;;;;;;;;;;;;;;;;;;;
ztehzf9452;;;;X;X;;;;;;;;;;;X;;;;;;;;;;;X;
z0v92zptzl;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;
z0yz3cn86p;;;X;;X;;X;X;;;X;X;;X;;;;;;;;;;;;;;
z02akzupu7;;;;X;;;;;;;X;;;;;;;;;;;;;;;X;;X
z1edn1m1h1;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
z18efe3qwf;;;;;;;;;;;X;;;X;;X;;;;;;;;;;;;
z2oakkselm;X;;;X;;;;;;;;;;;X;X;;;;;X;;;X;;X;;X
z5koxtwjm3;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
z66o0m3xdo;;;;;X;;;;;;;X;;X;;;;;;;;;;;;;;
z717m282qc;;X;;;;;;;;;;;;X;X;X;X;;;;;;;;;;;X
0dbnq6ys7g;;;;X;;X;;;;;;;;;;;;;;;;;;;;;;
0d8ff8u15k;;;;;;;;;X;;;;;;;;;;;;;;;X;;X;;
0fu8fkpa10;X;;;;;;;;;;;;;X;X;;;;;;X;;;X;X;X;;
0f3ciytabc;;;;X;;;;;;;X;;;;;;;;;;X;;;;X;;;
0g3dyoeeqs;;;;;;;;;;;;;;;;;;;;X;;;;;;;;
0iad9jo1kh;;;X;;;;;;;;;;;;;;;;;X;X;;;;X;;;
0ivwu10rcs;;;;X;;X;;;;X;;;;;X;;;;;X;;;;X;;X;;
0iy3t2k2zv;;;;;;X;;;;;;;;;;;X;;;;;;;;;X;;X
0kirveyfkn;X;;;;;X;;;;;;;;;;;X;;;;X;X;X;X;;;X;
0k3csa2zlr;;;;;;;;;;;;;;;;;;;;;;;;;;X;;
0m91pkck42;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
0onsvkbvhm;X;;X;;;X;;;;;;;;;X;;;;;;;;X;;X;;;
0rtckdhxqf;X;;X;X;;;;;X;;X;X;;;;;X;;;;;X;;;;;;
0xhyndt25o;X;;;;;;;;;X;;;;;;;;;;X;;;;X;;;;
01xfdtmw1i;;;;;;;;;;;;;;;;;;;;;;X;;;;;;
02gmki244a;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
027nsez4nw;X;;;X;;;;;;X;;;;X;;;X;;;X;X;X;;;;;;
03yy7exoyl;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;
04x3xqnqkp;;;;;;;;X;;;X;;;;X;;;;;X;;;;;;;;X
05bo0ybrr5;X;;;X;;;;;;;;;X;X;;;;;;X;X;;;;X;X;;
06a89unhen;;;;;;;;X;;;;;;X;X;;;;;;;;;;;;;
08yfpm3dqj;;;;;X;;;X;;;X;;;X;;X;;;X;;;;X;;;;X;
09hjbe9f1v;;;X;;;;;;;;;;;;X;X;;;;;;;;;;;X;
09okp4obz8;;;;;;;;;;;X;;;X;X;;X;;;X;;;;;X;X;;
1amtas1wdu;;;;X;;X;X;X;;;;;;;;;X;;;;;;;;;;;
1cwii5wef3;X;;;;;;;;;;;;X;;X;;;;X;X;X;X;;;;;;X
1cznjphd3y;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
1c699a6dux;;;;;;;;;;;X;X;;X;;X;;X;;;;;;;;;;
1giixydyh0;;;;;;;;;;;;;;;;;;;X;;;;;;;;;
1himdgdrge;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
1h6rrd0ncw;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
1nunt0uvz0;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;
1qfngx92s2;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;
1tlgcp1j4s;;;;;;;;;X;;;;;;X;X;;;;;;;;;;;;
1ui2hhqfl5;;;;;;;;;;;;;;X;;;;;;;;;;;;;;
1vf8pckcvf;;;X;;;;;;;;X;X;;X;;;;;;;;;;;;;;
1zo89txk32;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11qer8l8hd;X;;;;;;;;;;;;;;X;;;;;;;X;X;;;;;
128d1lauzn;;;;;;;;;;;;X;;X;;;;;;;;;;;;X;X;
14mtntvuc0;;;;;;;;;;;;;;;X;;;;;;;;;X;X;X;;
14udlx2e53;;X;;;;;;;;;;;;;;;;;;;;;;;;;;
16nkoxburo;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
2bqy5so8wn;;;;;;;;;;;;;;X;;X;X;;X;;;X;X;;;;X;
2d8np3iwn1;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
2f5u7k71qz;X;;;;;;;;X;;;;;;;;X;;;;;;X;;;;;
2ger257ne8;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;X
2jufx6qhqh;X;;;X;;X;;;;;;;;X;X;;;;;X;;;X;;;;;X
2j3zks55sp;;;X;;;;;X;;;;;;;;X;;X;;;X;X;X;;;;X;
2ltdakc3wk;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
2n4lsc8vwi;;;;;;;;;;;;;;;;;;;;;;;;;X;;;
2ook2f4t6k;;;;;X;;;;;;;;;X;;X;;;;;;;;;;;;
2q3vuncfrm;;;;X;;X;;;;;;;;;;;;;;;;;;;;;;
2rfvl85j1z;;;;;;;;;;;;;;X;;;;;;;;;;;;;;
2t9gpjyloj;X;;;;;;;;;;X;;;X;X;X;;;;;;;;;;;;
2uu4jnoxky;X;;;X;;;;;;X;;;;;X;;;;;;X;;;;;X;;
2wyg622f1h;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
2z5wrpacg5;;;;;;;;X;;;X;;;;;;;;;;;;;;;;;
2222gfif18;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;
24oqs42648;;;;;;;;X;;;X;;;;X;;X;;;X;;;;;;;X;
26qmhcuilu;X;;;;;X;;;X;;;;;;;;;;;;;;;;X;;;
29xaqcf6e7;;;;;;X;;;;;;;;;;;X;;;;;;;;;;;X
3c5dnni1dm;;X;;X;;;X;;;;;;;;;;;;;;;;;;;;;
3c638wac8y;X;;;;;;;;;X;;;;;X;;;;X;;;;X;;;;;
3g3kcdm5pn;;;;;;;;;;;X;;;X;X;;;;;;;;;;;;;
3ji74hapbe;;X;;X;;;;;X;;X;;;;;;;;;;;;;;;;;
3j0hajnlo1;;;;;;;;;;;;;;;;;;;;;;;;X;;;;
3kh55wml5d;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
3ntkw9b9t1;;;X;;;;;;;;;;;;;;;;;X;X;;;;X;;;
3n2vutlmxo;;;;;;;;;;;;;;X;X;;;X;;;;;;;;;;
3pvnarfkku;;;;;;;;;;;;;;;;;;;;X;X;;;;;;;
3qk4krc2m8;;;;;;X;;;;;X;;;;;;X;;X;;;;;X;;X;;
3qo85e7zhp;X;;;X;;;;;;;;;;;X;;;;;;;;;;;;;
3snf1ikdzd;;;X;;;;;;;;;;;;X;;;;;;;;;;;;;
3sunhaysg6;;;;;X;;;;;;;;;;;;;;;;;;;;;;;
3td00ny0m9;X;;;;;;;;;;;;;;;;;X;X;;;X;;;;;;
3t7oaked7y;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
3vg1wue7xx;;X;;;X;;;;;;X;;;;;;;;;;;;;;;;X;
3wq0qf36pg;X;;;;;X;;;;;;;;;;;;;;;;;X;;X;;;X
3xryw865sy;;;;;;;;;X;X;;;;;;;;;X;;X;X;;;;;;
3xvf3b7dsa;;;;;;;X;;;;X;;;;;;;;X;;X;;;;;;;
3yqlse81ca;;;;;;;;;;;;;;;;;X;;;;;;;;;;;
3z9ckeykcm;;;;;;;;;;;X;X;;X;;;;X;;X;X;;;;;;;
304ffe175c;;;X;X;X;;X;;;;X;;;X;;X;;;;;;;;;;;X;
3069k9oqhw;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;
31d221r1m0;X;;;;;;;;;;;X;;;X;;;X;;;;;;;;X;;
34e6sjrcn8;;;;;;;X;;;;;;;;;;;;;;;;;;;;;
39e2mlxryt;;;;;;;X;;;;;;;X;;;;;;;;;;;;;;
4dg6iquxjf;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
4ex7nwp83j;;X;;;;;;;;;;;;X;;;;;;;;;;;;;;
4fvp5g9exp;;;;;;;;;;;;;;;;;;;;;;;;;;X;;
4gnvbjy3wb;;;;;;;;;;;;;;;X;;X;;;X;;;;;;;;
4gopsn7fxl;;X;;;;;;;;;X;;X;;;X;;;;;;;;;;;;
4h8br9b67q;;;X;X;;;X;;X;;;;;X;;;;;;;;;;;;;;
4k2umfyica;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
4lfyzyhpk9;X;;;X;;;;;;;;;;;X;;;;;;;;X;;;;;
4sxdkcgcbd;;;;X;;;;;;X;;;;;X;;;;X;;X;X;;X;;X;;
4u4qf0i8nl;;;;;X;;;;;X;;;;;;X;X;;;;;;X;;X;;;
4whjve74uz;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
4w5e79a3we;;;;X;;;;X;X;;X;;;;;;;;;;;;;;;;;
4zzr155lef;;;;;X;;;;;;;;;X;;;;;;;;;X;;;;;
40s4rxishj;;;X;;;;;;;X;;;;;;;;X;;;;;;;;;;
41b4nazd5p;;;;X;X;;;;;;;;;;;;;;;;;;;;;X;;
43ucnk31t4;X;;;;;;;;X;X;;;;X;X;;X;;;X;;;X;;;;;
49emnd7ydj;;;;;;X;;;;;;;;;;;;;;;;;;;;;;
5aoc0o3jqr;;X;;;;;X;;;;;;;;;;;;;;;;;X;;;;
5bda6scwut;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
5cxpah2fv3;;;;;;;X;;;;X;;;;;;;X;;;;;;;;;;
5c4unduu83;;X;;X;;X;;;;X;;;;X;X;;;;X;;;;;;;;X;
5foog050kl;;;;;;;X;;;;X;;;X;X;;;;;;;;;;;X;;
5gy8xsbp4w;;;;;;;X;;;;X;;;X;;;;;;;;X;;;;;;
5g5kolawti;;;;;;;;;;X;;;;;;;;;X;X;;;;;;;;
5hmdfei1nq;;;X;;;;;;;;X;;;;;;;;X;;;;;;;;;
5kauk6brtm;X;;;;;;;;;;;;;;;;;X;;;;;;;;;;
5kkzim49kx;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
5llwo0hegb;;;;;;;;;;;;;;;;;;;X;;;;;;;;;
5o146e79p3;;;;;;;;;;;;;;;;;;;;;;;;;X;;;
5o5os46ou1;;;X;;;;;;;;X;;;;;;;;;;;;;;;;;X
5qj7g6tbuf;;;;X;;;;;;;;;;;X;;;;;;X;;;;;;X;X
5ses6kn1ks;;X;;X;;X;;;;;;;;;;;;;;;;;;;;;;
5sv7w96a4x;;;;;;;X;;;;;;;;;;;;;;;;;;;;;
5s8b02cuz7;;;;;;;;;;;X;;;;;X;X;;X;;;X;X;;;;;
5tgzbd0hxm;;;;;;;;;;;;;;;;;;;;;;;;;X;;;
5uikwhxrg9;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
5utpkzynli;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;X
51wg17gp40;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
562mkcsqub;;;;X;X;;X;;X;;;;;;;;;;;;;;;;;;;
57lbyncngw;;;;;;;;;;;;X;;X;X;;;;X;;;;;;;;;
59tb92hn17;;X;;;;;;;;;X;;;X;X;X;;;;;;X;;;;;;
6c184051zs;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
6fihgdpby1;;;;;;;;;;;;;;X;;;;;;;;;;;;;;
6gp0aj6082;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
6hfigt8zyw;;;;;;;;;;;;;X;X;;;;;;;;X;;;;;;
6j7budbgjs;;;X;X;;;;;;;;X;;;;X;;;;X;X;;;;;X;;
6kvae1q2g5;;;;;;;;;;;X;;;;;;;;;;;;;;;;X;
6k20wu4n73;;;;;;;;;;;;;;;;;X;;;;;;;;;;;X
6odocdu7ic;;;;;;;;;X;;;;;;;;;;;;;;;;;;;
6okr37b8c5;;X;;X;;;;;X;;X;;;;;;;;;;;;;;;;;
6qkthlu95h;;;;X;;X;;;;;;;;;;;;;;;;;;;;;;
6sp4dkfo4m;;;;;;;;;;;;;;X;;;;;;;;;;;;;;
6ufk2e785x;X;;;;;;;;;;X;;;;;;;;X;;;;;;;;;
6wm7jxqxi0;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
6wwz8cnfm0;X;;;;;X;;;;;;;;;;;;;;;;;X;;X;;;
6w5mpcjxpb;;;;;;;;;;;;;;;;;;;;;;;;;;X;;
6xdocvmm6w;;;;;;;X;;;;;;;;;;;;;;;;;;;;X;
6xd8ehvtgc;;;;;X;;;;;;X;;;;X;;;;;;;;;X;;;X;
6zc12r7jce;;;;X;;;X;;;;X;;;;;;;;;;;;;;;;;
6zlzhb46ca;;;;X;;;;;;X;;;;;X;;;;;;;;;;;;;X
6z3o07htzl;;;;;;;;;;;;;;;;;;;;;;;;;;X;;
63qt3sx5pb;;;;X;X;;X;;;;X;X;;X;;;;;;;X;;;;;;;
65q4vgen53;;;;;;;;;;;;;;;;;;;;;;;;;;X;;
66oagxb2f3;;;;;;;;;;;;;;X;X;X;;;;;;;X;;;;;
67k1i8c5kt;X;;;X;;;X;;X;;X;;;X;;X;;;;;;X;;;;;;
7aeoojuf51;;;;;;;;;;;;;;;;;X;;;;;;;;;;;
7b1yq1b333;;;;;;;;;;;;;;;;;X;;;;;;;;;;;
7cntr5emxp;X;;X;;;;;;;;;;;X;;;;;;;;;;;;;;
7cvui1pnje;;;;;;;;;;;;;;;;;;;;;;;;;;X;;
7der97sf6a;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
7dgj6499fb;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
7i8zn5i1ue;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
7lruy6v7a0;;;;;X;;X;;;;X;;;X;;X;;X;;;;;;;X;;;
7l6qbkons6;;;;;;;;;;;;;;;;;;;;;;;;X;;X;;
7raj2av6p1;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
7sbnp1rebb;;;;X;;;;;;;X;;;;;;;;;;;;;;;;;
7sxlysig5y;;;;;;;;;;;X;X;;X;;;;;;;;;;;;;;
7u6fdshnnl;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
7weyppia0y;;;;;;;;;;;X;;X;;;;;;;;X;;;;;;;
70rnihrs6d;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
73bu9u5lb5;;;;;;;;;;;X;;;X;;;;;;;;;;;;;;
73nmr0xa85;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
7440oky9b8;;;;;;;;;;;;;;;;;;;;;;;;;X;;;
75alob5k8c;;;;;;X;;;;;X;;;;X;;;;X;X;;X;X;;;;X;
75e8w8i70g;;;X;X;;;;;;X;;;;X;;;;;;;;;;;;;;
79l4px1zig;X;;;;;X;;;;;;;;;;;;;;;;;X;;;;;
8cushycc62;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
8ef1uewumd;;;;;X;;;;;;;;;;;;;;;;;;;;;;;
8htman88oc;;;X;;;;;;;X;;;;;;;;;;;;;;;;;;
8igj5pc8b1;;;X;X;;;;;;X;;;;;;X;X;;;;;X;X;;;;X;
8kyhncdh4x;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
8ldzoxii7v;X;;;X;;;X;;X;;;;;;;;X;;;;;;X;X;;X;;
8mimhsbpeg;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
8nk2iwan7y;;X;;;;;;;;;;;;X;;;;;;;;X;X;;;;;
8nnhvl5953;;;X;;X;;;;;;X;;;X;;;;;;;;;;;;;;
8ohabe7wes;;;X;;X;;;X;;;X;;;X;;X;;X;;;;;;;;;X;
8oh2xutfyy;;;;;;;;;X;;;X;;X;;;;;;;;;;;;;;
8q5vdu62gr;;;;;;;;;;;X;;;;;;X;;;;;;;;;;;
8rdjmj6jk1;X;;;X;;X;;;;;;;;X;X;;;;;X;;;X;;;;;X
8rjhypk6yd;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8ss4j8hqbq;;;;;;;;;;;;;;;;;;;;;;;;;X;;;
8uspjbg0d7;;;;;;;;;;;;;;;;;X;;;;;;;;;;;
8w79j7j2sj;;;X;;;;;;;;;;;;;;;;;;;X;;;;;;X
8xhguguzsh;;X;;;;;;;;;;;;;X;;X;;;;;;;;;X;;
8xkcjonmzf;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;
8y6qgt8zfw;;;;;;;;;X;;;;;;;;;;;;;;;;;;;
8zwldn9hd6;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;
80ij7168cy;;;X;;;;;;;;X;;X;;;;;;;;;;;;;;;
82lt6xit7g;;;;X;;X;;;;;;;;;;;;;;;;;;;X;;;X
84cwt9j704;;;;;;;;;;;;;;;;;X;;X;;;;;;;;;
86vasulke2;;;X;X;X;;;;;X;X;;;;;;;;;;X;X;;;;;X;
88qpx5326m;;;;X;;X;X;;X;;X;;;;;;;;;;X;;;;;;;
89ovqtmgvs;X;;;X;;X;;;;X;X;;;;X;;;;;X;;;X;;;;;
9axmriptp2;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
9a03kr1awm;;;;;;;;;;;X;;;;X;;X;;;;;X;;;;;;
9bklgr87sm;X;;;;;;;;;;;;;X;X;;;;;X;;X;;X;;;;
9cez8rxnwz;;X;X;X;X;X;;;;;;;;;;;X;;;;;;;X;;;X;
9dd0fjsva0;;;;;;;;;;;;;;;;;;;;;;;;;X;;;
9df276o5cy;;;;;;;;;;;X;;;;;;X;;;;;;X;;;;;
9ef8ksna6g;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;
9kj5exrwgv;;;;X;;X;;;;;;X;;;X;;;;;X;;X;;;X;X;;
9ky62875tk;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;
9q9m34ldbn;;;;;X;;X;;;X;;;;X;;X;;;;;;;;;;;;
9r2i10o7vo;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
9s8l76m8xw;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
9tea9pxf6m;;;;;;;;;;;;;;;X;;;;;;;;;;;X;;
9uii4wktrk;;;X;;X;;X;X;;;X;;;X;;X;;;;;;;;;;;X;
9xxdrupo29;;;X;X;;;;;;X;;X;;;;X;;;;;X;;;X;;X;;
9x3wfs22pl;;;;;;;;;;X;;;;;;;;;X;;;;;;;;;
9y0vjegcer;;;X;;;;;;;;;;;;;X;;;;;;;;;;;X;
9y3qfn5ccp;;;;X;;;;;;;;;;;;;;;X;;;;;X;;;;
91fiyz8mo9;;X;;X;;;X;;;;;;;;;;;;;;;;;;;;;
910o787khm;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
94x9owe65d;;;X;X;;;;;;;X;X;;X;;;;;;;;;X;;;X;;X
96bqriukcg;;;;;;;;;;;;;;;;;;X;;;;;;;;X;;
98ph98atma;X;;;X;;X;;;;;X;;;;;;X;;;;X;;;;;;;